entry_date,exit_date,entry_price,exit_price,stop,target_1,target_2,shares,pnl,pnl_pct,exit_reason,hold_days,atr,symbol,strategy
2026-02-04 00:00:00+05:30,2026-02-20 00:00:00+05:30,1529.9,1511.5,1412.16,1735.95,1824.26,16,-294.4,-1.2,max_hold,13,58.87,ADANIPORTS,Momentum Breakout
2026-01-07 00:00:00+05:30,2026-01-16 00:00:00+05:30,7349.0,7103.14,7103.14,7779.25,7963.64,8,-1966.86,-3.35,stop_loss,7,122.93,APOLLOHOSP,Momentum Breakout
2026-01-13 00:00:00+05:30,2026-01-16 00:00:00+05:30,2900.0,2797.59,2797.59,3079.23,3156.04,19,-1945.87,-3.53,stop_loss,3,51.21,ASIANPAINT,Momentum Breakout
2026-02-01 00:00:00+05:30,2026-02-20 00:00:00+05:30,1373.2,1368.3,1299.6,1502.0,1557.2,27,-132.3,-0.36,max_hold,16,36.8,AXISBANK,Momentum Breakout
2025-12-31 00:00:00+05:30,2026-01-20 00:00:00+05:30,9320.0,9320.0,9029.43,9828.5,10046.43,6,0.0,0.0,stop_loss,14,145.29,BAJAJ-AUTO,Momentum Breakout
2026-02-16 00:00:00+05:30,2026-02-20 00:00:00+05:30,1023.05,1030.2,967.7,1119.91,1161.42,36,257.4,0.7,max_hold,5,27.67,BAJFINANCE,Momentum Breakout
2026-01-06 00:00:00+05:30,2026-01-21 00:00:00+05:30,414.7,398.67,398.67,442.75,454.77,124,-1987.54,-3.87,stop_loss,11,8.01,BEL,Momentum Breakout
2026-01-29 00:00:00+05:30,2026-02-01 00:00:00+05:30,454.25,429.53,429.53,497.51,516.05,80,-1977.71,-5.44,stop_loss,3,12.36,BEL,Momentum Breakout
2026-01-01 00:00:00+05:30,2026-01-06 00:00:00+05:30,375.65,359.74,359.74,403.5,415.44,125,-1989.29,-4.24,stop_loss,4,7.96,BPCL,Momentum Breakout
2026-01-08 00:00:00+05:30,2026-01-08 00:00:00+05:30,6155.0,5958.79,5958.79,6498.38,6645.54,10,-1962.14,-3.19,stop_loss,1,98.11,BRITANNIA,Momentum Breakout
2026-01-07 00:00:00+05:30,2026-01-07 00:00:00+05:30,1516.0,1477.77,1477.77,1582.9,1611.57,52,-1987.89,-2.52,stop_loss,1,19.11,CIPLA,Momentum Breakout
2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,453.95,428.99,428.99,497.62,516.34,80,-1996.57,-5.5,stop_loss,2,12.48,COALINDIA,Momentum Breakout
2026-01-07 00:00:00+05:30,2026-01-12 00:00:00+05:30,6680.0,6404.57,6404.57,7162.0,7368.57,7,-1928.0,-4.12,stop_loss,4,137.71,DIVISLAB,Momentum Breakout
2025-12-04 00:00:00+05:30,2025-12-09 00:00:00+05:30,1280.6,1242.3,1242.3,1347.62,1376.35,52,-1991.6,-2.99,stop_loss,4,19.15,DRREDDY,Momentum Breakout
2025-11-25 00:00:00+05:30,2025-12-30 00:00:00+05:30,7258.5,7192.5,6954.86,7789.88,8017.61,6,-396.0,-0.91,max_hold,25,151.82,EICHERMOT,Momentum Breakout
2026-02-12 00:00:00+05:30,2026-02-20 00:00:00+05:30,7779.5,7936.5,7330.21,8565.75,8902.71,4,628.0,2.02,max_hold,7,224.64,EICHERMOT,Momentum Breakout
2026-01-29 00:00:00+05:30,2026-01-30 00:00:00+05:30,1010.25,959.76,959.76,1098.6,1136.46,39,-1968.94,-5.0,stop_loss,2,25.24,HINDALCO,Momentum Breakout
