entry_date,exit_date,entry_price,exit_price,stop,target_1,target_2,shares,pnl,pnl_pct,exit_reason,hold_days,atr,symbol,strategy
2026-01-05 00:00:00+05:30,2026-01-07 00:00:00+05:30,36360.0,34592.86,34592.86,39452.5,40777.86,1,-1767.14,-4.86,stop_loss,3,883.57,3MINDIA,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-16 00:00:00+05:30,36500.0,34209.29,34209.29,40508.75,42226.79,1,-2290.71,-6.28,stop_loss,5,1145.36,3MINDIA,Momentum Breakout
2025-12-01 00:00:00+05:30,2025-12-05 00:00:00+05:30,895.0,809.44,809.44,1044.74,1108.91,23,-1967.98,-9.56,stop_loss,5,42.78,63MOONS,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,714.7,641.9,636.62,851.34,909.9,25,-1820.0,-10.19,max_hold,9,39.04,63MOONS,Momentum Breakout
2025-12-26 00:00:00+05:30,2026-01-05 00:00:00+05:30,17.25,15.14,15.14,20.94,22.51,949,-1998.32,-12.21,stop_loss,7,1.05,A2ZINFRA,Momentum Breakout
2026-01-01 00:00:00+05:30,2026-01-05 00:00:00+05:30,103.5,94.24,94.24,119.71,126.66,215,-1991.82,-8.95,stop_loss,3,4.63,AAATECH-BE,Momentum Breakout
2026-01-14 00:00:00+05:30,2026-01-23 00:00:00+05:30,112.79,100.64,100.64,134.06,143.18,164,-1993.3,-10.78,stop_loss,7,6.08,AAATECH-BE,Momentum Breakout
2026-01-05 00:00:00+05:30,2026-01-09 00:00:00+05:30,504.95,480.94,480.94,546.98,564.99,83,-1993.19,-4.76,stop_loss,5,12.01,AADHARHFC,Momentum Breakout
2026-02-19 00:00:00+05:30,2026-02-20 00:00:00+05:30,71.45,72.7,64.82,83.05,88.02,301,376.25,1.75,max_hold,2,3.31,AAKAAR-SM,Momentum Breakout
2026-01-06 00:00:00+05:30,2026-01-09 00:00:00+05:30,58.0,52.41,52.41,67.78,71.98,357,-1995.63,-9.64,stop_loss,4,2.8,AARTECH,Momentum Breakout
2026-02-04 00:00:00+05:30,2026-02-20 00:00:00+05:30,429.7,450.65,400.65,480.54,502.32,68,1424.6,4.88,max_hold,13,14.52,AARTIIND,Momentum Breakout
2026-01-16 00:00:00+05:30,2026-01-20 00:00:00+05:30,796.8,752.78,752.78,873.84,906.85,45,-1980.96,-5.52,stop_loss,3,22.01,AARTIPHARM,Momentum Breakout
2026-01-21 00:00:00+05:30,2026-01-21 00:00:00+05:30,479.0,441.86,441.86,544.0,571.86,53,-1968.57,-7.75,stop_loss,1,18.57,AARTISURF,Momentum Breakout
2025-12-17 00:00:00+05:30,2026-01-29 00:00:00+05:30,22.3,22.75,20.15,26.06,27.67,930,418.5,2.02,max_hold,25,1.07,AATMAJ-SM,Momentum Breakout
2026-01-30 00:00:00+05:30,2026-02-20 00:00:00+05:30,5440.0,5987.0,5055.86,6112.25,6400.36,5,1094.0,4.02,max_hold,17,192.07,ABB,Momentum Breakout
2025-12-01 00:00:00+05:30,2025-12-18 00:00:00+05:30,358.0,343.37,343.37,383.6,394.57,136,-1989.49,-4.09,stop_loss,14,7.31,ABCAPITAL,Momentum Breakout
2026-02-06 00:00:00+05:30,2026-02-20 00:00:00+05:30,20.77,21.68,18.68,24.42,25.98,958,871.78,4.38,max_hold,11,1.04,ABINFRA,Momentum Breakout
