Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWZ,iShares MSCI Brazil ETF,$38.77,85,STRONG BUY,5,62.5,Bear,38.2,70.3,0.85x,+32.8%,22.9%,3.00,-8.1%,+6.0%,+25.8%,+0.0%,$8.75B,N/A,4.45%,N/A
EWD,iShares MSCI Sweden ETF,$53.49,85,STRONG BUY,5,56.4,Bear,27.4,57.3,0.61x,+9.5%,15.0%,1.99,-7.8%,+2.1%,+19.3%,+0.0%,$0.33B,N/A,3.08%,N/A
EWW,iShares MSCI Mexico ETF,$79.54,85,STRONG BUY,5,57.5,Bear,44.2,64.6,1.70x,+24.5%,19.7%,2.82,-5.6%,+4.5%,+22.8%,+0.0%,$2.11B,N/A,3.21%,N/A
COPX,Global X Copper Miners ETF,$90.85,80,STRONG BUY,5,59.1,Bear,26.7,91.5,0.63x,+86.0%,39.8%,3.51,-13.7%,+5.6%,+61.9%,+0.0%,$7.26B,N/A,2.22%,N/A
EWA,iShares MSCI Australia ETF,$29.45,80,STRONG BUY,5,67.2,Bear,46.7,85.2,0.60x,+4.8%,14.3%,1.49,-9.5%,+7.6%,+20.1%,+0.0%,$1.28B,N/A,3.04%,N/A
EWH,iShares MSCI Hong Kong ETF,$23.78,80,STRONG BUY,5,62.7,Bear,36.6,76.6,0.96x,+7.3%,16.3%,1.61,-6.5%,+5.1%,+13.4%,+0.0%,$0.72B,N/A,4.71%,N/A
EWT,iShares MSCI Taiwan ETF,$73.18,80,STRONG BUY,5,64.0,Bear,36.0,81.6,0.70x,+22.3%,20.7%,2.52,-8.1%,+5.0%,+24.1%,+0.0%,$7.68B,N/A,1.45%,N/A
ECH,iShares MSCI Chile ETF,$43.51,80,STRONG BUY,5,44.9,Bear,26.6,17.0,0.57x,+26.7%,22.3%,2.66,-8.1%,-6.2%,+19.3%,+0.0%,$1.32B,N/A,1.79%,N/A
COLO,Global X MSCI Colombia ETF,$42.42,80,STRONG BUY,5,61.2,Bear,21.8,89.7,1.24x,+33.4%,20.3%,3.39,-8.6%,-1.1%,+22.5%,+0.0%,$0.15B,N/A,6.36%,N/A
EPHE,iShares MSCI Philippines ETF,$27.53,80,STRONG BUY,5,66.4,Bear,26.6,96.3,1.73x,-2.8%,17.8%,0.42,-13.1%,+5.0%,+13.9%,+0.0%,$0.16B,N/A,2.01%,N/A
EWL,iShares MSCI Switzerland ETF,$64.31,75,STRONG BUY,5,67.9,Bear,27.3,92.7,0.97x,+10.2%,12.4%,2.48,-4.7%,+5.7%,+15.5%,+0.0%,$1.66B,N/A,1.66%,N/A
URA,Global X Uranium ETF,$53.44,75,STRONG BUY,5,51.5,Bear,20.7,55.4,0.86x,+35.0%,53.6%,1.55,-28.4%,-6.2%,+33.0%,+0.0%,$7.73B,N/A,3.73%,N/A
GREK,Global X MSCI Greece ETF,$71.04,75,STRONG BUY,5,45.4,Bear,27.7,15.2,0.45x,+3.7%,18.9%,1.07,-8.5%,-1.7%,+15.6%,+0.0%,$0.34B,N/A,3.09%,N/A
EWC,iShares MSCI Canada ETF,$56.95,75,STRONG BUY,5,59.9,Bear,24.0,83.6,0.73x,+14.0%,14.5%,2.60,-4.2%,+2.1%,+15.1%,+0.0%,$4.02B,N/A,1.44%,N/A
IAU,iShares Gold Trust,$98.57,75,STRONG BUY,5,61.2,Bear,28.9,99.8,0.36x,+48.6%,30.1%,3.06,-13.8%,+5.1%,+28.4%,+0.0%,$79.75B,N/A,N/A,N/A
EWY,iShares MSCI South Korea ETF,$139.30,75,STRONG BUY,5,72.0,Bear,51.6,88.8,1.12x,+89.0%,30.3%,4.61,-12.2%,+18.1%,+60.9%,+0.0%,$12.20B,N/A,1.64%,N/A
TUR,iShares MSCI Turkey ETF,$41.76,75,STRONG BUY,5,63.1,Bear,39.3,61.6,0.74x,+10.6%,20.9%,1.57,-11.3%,+5.9%,+25.6%,+0.0%,$0.35B,N/A,1.99%,N/A
EEM,iShares MSCI Emerging Markets ,$61.65,75,STRONG BUY,5,63.4,Bear,35.5,82.9,0.80x,+17.4%,15.2%,2.84,-5.2%,+4.4%,+17.7%,+0.0%,$26.95B,N/A,2.05%,N/A
EWZS,iShares MSCI Brazil Small-Cap ,$15.55,75,STRONG BUY,5,62.7,Bear,27.8,82.1,0.88x,+16.8%,26.5%,1.69,-12.0%,+6.1%,+20.5%,+0.0%,$0.22B,N/A,3.38%,N/A
EWJ,iShares MSCI Japan ETF,$91.39,75,STRONG BUY,5,63.0,Bear,32.0,65.4,0.68x,+13.1%,16.8%,2.16,-5.9%,+8.1%,+19.3%,+0.0%,$16.69B,N/A,4.27%,N/A
PICK,iShares MSCI Global Metals & M,$62.03,75,STRONG BUY,5,61.2,Bear,34.1,84.2,0.30x,+46.8%,25.1%,3.52,-7.3%,+4.8%,+41.4%,+0.0%,$1.79B,N/A,1.67%,N/A
EWN,iShares MSCI Netherlands ETF,$62.95,65,BUY,4,57.3,Bear,19.3,84.1,0.22x,+14.6%,17.0%,2.28,-7.0%,+1.0%,+17.7%,+0.0%,$0.36B,N/A,4.60%,N/A
ARGT,Global X MSCI Argentina ETF,$92.64,65,BUY,4,46.6,Bear,14.2,40.2,0.29x,+10.6%,44.6%,0.90,-16.1%,-5.1%,+7.4%,+0.0%,$0.88B,N/A,0.78%,N/A
EWK,iShares MSCI Belgium ETF,$27.16,65,BUY,4,67.9,Bear,54.1,64.4,1.10x,+11.4%,11.3%,2.91,-4.2%,+5.9%,+16.2%,+0.0%,$0.03B,N/A,1.61%,N/A
EWS,iShares MSCI Singapore ETF,$29.08,60,BUY,4,59.3,Bear,16.6,78.8,0.57x,-0.8%,13.5%,0.80,-7.3%,+1.8%,+8.0%,+0.0%,$0.77B,N/A,3.99%,N/A
VNM,VanEck Vietnam ETF,$19.23,60,BUY,4,57.4,Bear,13.5,88.3,1.40x,+5.1%,27.5%,0.90,-15.1%,-1.0%,+10.4%,+0.0%,$0.65B,N/A,0.20%,N/A
EWS,iShares MSCI Singapore ETF,$29.08,60,BUY,4,59.3,Bear,16.6,78.8,0.57x,-0.8%,13.5%,0.80,-7.3%,+1.8%,+8.0%,+0.0%,$0.77B,N/A,3.99%,N/A
EZU,iShares MSCI Eurozone ETF,$68.43,55,WEAK BUY,3,61.0,Bear,21.8,84.0,0.64x,+7.5%,12.0%,2.16,-5.8%,+2.9%,+15.0%,+0.0%,$9.56B,N/A,2.75%,N/A
EWI,iShares MSCI Italy ETF,$56.94,55,WEAK BUY,3,57.2,Bear,18.0,69.8,0.86x,+4.6%,14.2%,1.48,-6.1%,+3.7%,+13.5%,+0.0%,$0.72B,N/A,2.72%,N/A
EWQ,iShares MSCI France ETF,$47.49,55,WEAK BUY,3,64.7,Bear,19.7,90.3,0.61x,+4.3%,12.5%,1.62,-5.2%,+4.4%,+11.0%,+0.0%,$0.39B,N/A,2.60%,N/A
EWP,iShares MSCI Spain ETF,$57.28,55,WEAK BUY,3,58.4,Bear,18.8,77.5,0.70x,+13.4%,14.6%,2.51,-6.0%,+3.9%,+17.6%,+0.0%,$1.88B,N/A,2.17%,N/A
ENZL,iShares MSCI New Zealand ETF,$45.93,55,WEAK BUY,3,44.9,Bear,23.0,35.5,0.17x,-4.9%,13.4%,0.21,-7.5%,-1.5%,+6.3%,+0.0%,$0.07B,N/A,2.15%,N/A
EWG,iShares MSCI Germany ETF,$43.90,45,WEAK SELL,-3,53.8,Bear,13.6,63.3,0.44x,-2.6%,12.7%,0.57,-8.4%,+1.0%,+12.9%,+0.0%,$1.76B,N/A,1.58%,N/A
ERUS,iShares MSCI Russia ETF,$0.03,45,WEAK SELL,-3,0.0,Bear,89.2,100.0,1.00x,-105.7%,143.1%,-1.44,-99.6%,+0.3%,-99.6%,+0.0%,$0.00B,N/A,595.28%,N/A
