symbol,last_close,ma20,ma50,ma100,ma200,ma_band_pct,avg_pair_diff_pct
GICRE,386.1,382.63,375.8,379.29,382.8,1.812,1.05
APOLLOHOSP,7720.5,7327.93,7189.76,7364.03,7363.02,2.257,1.204
ANGELONE,2460.2,2606.47,2537.69,2547.99,2604.78,2.795,1.782
ADOR,1065.8,1063.25,1046.59,1061.21,1029.27,3.188,1.823
AUROPHARMA,1164.4,1171.73,1181.4,1168.46,1143.95,3.216,1.655
BAJFINANCE,1023.55,983.6,977.67,1005.75,966.21,3.863,2.028
BANARISUG,3608.4,3598.81,3603.29,3576.23,3718.53,3.943,1.992
APCOTEXIND,369.45,369.46,366.57,373.3,381.98,4.172,2.259
APOLLOTYRE,454.75,488.37,499.86,504.26,484.85,4.269,2.556
MASFIN,338.15,328.48,321.03,315.05,310.15,5.423,3.006
ATUL,6468.0,6446.62,6179.16,6043.95,6434.0,6.226,3.769
ANDHRSUGAR,71.84,72.41,72.83,75.88,76.94,6.307,3.86
BANARBEADS,123.27,121.33,121.47,129.66,122.99,6.758,3.585
BALKRISIND,2518.5,2552.43,2446.85,2381.71,2444.84,6.778,3.402
CAMS,709.2,723.97,730.18,751.53,774.26,7.091,4.047
AEGISLOG,699.5,702.77,711.99,747.57,754.95,7.46,4.578
ABB,6056.0,5746.95,5330.69,5240.67,5409.93,8.36,4.398
ARVIND,357.55,358.68,328.52,326.22,329.85,9.079,4.602
ASIANPAINT,2413.1,2419.44,2633.03,2642.96,2521.12,9.263,5.404
AUTOAXLES,2003.3,1982.23,1929.07,1823.21,1795.43,9.325,5.543
ALEMBICLTD,92.47,95.48,97.39,98.82,104.75,10.019,5.268
ADANIENT,2183.0,2165.75,2176.23,2297.06,2384.58,10.025,5.935
ACC,1619.1,1656.42,1704.04,1774.74,1825.11,10.418,5.937
UNIDT,174.81,184.01,193.02,195.68,202.3,10.463,5.485
AARTIIND,449.8,435.6,393.8,386.31,408.1,10.959,6.009
ANDHRAPAP,67.56,67.04,66.29,70.0,74.44,12.063,6.761
ARE&M,858.8,858.26,883.7,930.05,962.45,12.133,6.966
BALMLAWRIE,180.34,178.26,177.56,185.94,200.97,12.983,7.202
BAJAJHLDNG,11330.0,11038.5,11009.04,11497.89,12534.17,13.461,7.406
SHAREINDIA,133.96,145.62,154.13,161.81,164.13,13.816,7.863
ARENTERP,42.1,41.01,43.63,46.03,47.0,14.23,8.067
AAKASH,8.6,8.0,8.32,8.66,9.26,14.731,8.028
ADL,73.82,72.61,74.98,78.7,84.01,15.439,8.56
BALRAMCHIN,456.95,448.75,437.57,447.66,508.12,15.44,7.76
TIINDIA,2562.7,2448.48,2471.45,2727.54,2877.92,16.757,10.044
GODREJAGRO,638.35,594.69,571.67,597.28,682.51,17.363,8.749
TCPLPACK,2718.1,2782.13,2850.14,3063.93,3354.77,21.067,11.845
CHEMCON,163.68,177.7,187.14,213.48,214.03,22.192,13.778
IEX,125.63,125.6,133.02,137.04,153.73,22.396,11.732
GATECHDVR,0.47,0.47,0.48,0.5,0.59,24.904,13.204
ASHAPURMIN,531.2,604.91,738.72,707.31,599.31,26.244,16.335
ASHOKLEY,210.18,203.86,190.48,168.14,146.75,27.175,15.359
STYRENIX,1915.8,1940.59,1953.25,2108.52,2519.25,30.205,16.453
BAJAJHIND,15.24,16.36,17.27,19.15,21.28,32.275,18.202
VALIANTORG,239.32,253.26,257.66,274.44,330.7,32.357,17.347
NIRAJ,30.78,32.15,34.94,35.07,43.59,37.157,18.652
21STCENMGM,36.67,38.24,43.31,44.01,52.28,38.307,19.471
HAPPSTMNDS,362.8,390.84,427.66,465.43,533.16,39.229,21.349
ASHIMASYN,15.0,16.58,17.32,18.95,23.13,43.623,23.623
ROUTE,494.7,560.08,628.03,669.18,800.76,48.654,25.713
