Ticker,Name,Sector,Price,Score,Signal,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
CSCO,"Cisco Systems, Inc.",Technology,$75.00,100,STRONG BUY,40.5,Bear,37.7,6.5,2.59x,+4.0%,28.4%,0.60,-13.6%,+0.8%,+1.9%,+9.5%,$296.33B,26.98,$2.78,1.92%,0.86
ON,ON Semiconductor Corporat,Technology,$70.63,95,STRONG BUY,69.5,Bear,27.7,81.3,1.24x,+32.4%,45.3%,1.54,-18.5%,+16.6%,+43.4%,+36.8%,$28.42B,243.55,$0.29,N/A,1.54
ODFL,Old Dominion Freight Line,Industrials,$185.51,95,STRONG BUY,53.7,Bear,40.2,40.1,2.26x,+17.6%,37.4%,1.17,-20.5%,+6.9%,+33.9%,+23.2%,$38.99B,38.33,$4.84,0.58%,1.27
KEYS,"Keysight Technologies, In",Technology,$229.48,95,STRONG BUY,59.6,Bear,29.8,56.5,1.27x,+31.1%,30.9%,2.02,-10.5%,+9.6%,+24.7%,+39.5%,$39.43B,45.62,$5.03,N/A,1.20
ILMN,"Illumina, Inc.",Healthcare,$114.44,85,STRONG BUY,26.7,Bear,34.0,4.4,1.33x,+9.4%,53.2%,0.68,-25.7%,-20.5%,-6.2%,+14.3%,$17.59B,21.00,$5.45,N/A,1.45
MCHP,Microchip Technology Inco,Technology,$78.92,85,STRONG BUY,58.6,Bear,33.6,55.6,1.14x,+18.2%,43.9%,1.07,-29.1%,+5.7%,+43.1%,+21.5%,$42.71B,N/A,$-0.30,2.25%,1.44
GILD,"Gilead Sciences, Inc.",Healthcare,$151.81,85,STRONG BUY,67.7,Bear,46.0,76.8,1.11x,+24.3%,26.0%,1.96,-7.0%,+22.4%,+23.8%,+29.3%,$188.40B,22.36,$6.79,2.03%,0.39
ROST,"Ross Stores, Inc.",Consumer Cyclical,$194.85,85,STRONG BUY,63.9,Bear,31.0,81.3,0.78x,+26.6%,21.0%,2.53,-5.4%,+1.6%,+19.9%,+32.9%,$63.37B,30.49,$6.39,0.82%,0.99
WERN,"Werner Enterprises, Inc.",Industrials,$32.61,85,STRONG BUY,44.0,Bear,31.1,20.9,1.70x,+11.1%,40.0%,0.84,-21.3%,-1.5%,+30.3%,+16.3%,$1.95B,N/A,$-0.24,1.63%,1.07
SBUX,Starbucks Corporation,Consumer Cyclical,$96.76,80,STRONG BUY,57.0,Bear,40.7,43.2,0.82x,+0.4%,28.4%,0.36,-15.2%,+6.2%,+11.7%,+5.4%,$110.24B,80.63,$1.20,2.48%,0.94
MAR,"Marriott International, I",Consumer Cyclical,$355.08,80,STRONG BUY,71.4,Bear,28.2,74.5,1.07x,+28.6%,27.2%,2.12,-7.4%,+11.1%,+22.0%,+33.9%,$94.09B,37.30,$9.52,0.74%,1.10
FANG,"Diamondback Energy, Inc.",Energy,$167.42,80,STRONG BUY,61.4,Bear,31.9,84.0,1.13x,+17.5%,29.5%,1.39,-12.4%,+8.9%,+15.3%,+19.8%,$47.97B,11.75,$14.25,2.37%,0.58
