Ticker,Name,Sector,Price,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
KEYS,"Keysight Technologies, In",Technology,$230.05,85,STRONG BUY,5/7,True,60.1,Bear,30.1,57.3,0.02x,+31.6%,30.8%,2.03,-10.5%,+7.2%,+29.0%,+40.8%,$39.53B,45.74,$5.03,N/A,1.20
LRCX,Lam Research Corporation,Technology,$237.53,85,STRONG BUY,5/7,True,59.7,Bear,33.1,69.7,0.09x,+119.8%,52.4%,3.27,-16.1%,+9.2%,+55.2%,+139.6%,$298.60B,48.72,$4.88,0.42%,1.78
HOLX,"Hologic, Inc.",Healthcare,$75.06,80,STRONG BUY,4/7,True,55.4,Bull,15.2,65.1,0.04x,+5.3%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.15,$2.41,N/A,0.73
GILD,"Gilead Sciences, Inc.",Healthcare,$153.10,80,STRONG BUY,5/7,True,68.8,Bear,47.1,78.8,0.04x,+25.6%,25.9%,2.01,-7.0%,+26.3%,+23.1%,+31.1%,$190.00B,22.55,$6.79,2.08%,0.39
FANG,"Diamondback Energy, Inc.",Energy,$167.83,80,STRONG BUY,6/7,True,61.9,Bear,32.1,84.4,0.08x,+18.0%,29.4%,1.40,-12.4%,+11.3%,+16.2%,+20.5%,$48.09B,11.78,$14.25,2.39%,0.58
ROST,"Ross Stores, Inc.",Consumer Cyclical,$194.37,80,STRONG BUY,6/7,True,62.5,Bear,32.0,77.5,0.02x,+26.4%,21.0%,2.49,-5.4%,+0.3%,+20.4%,+32.9%,$63.21B,30.42,$6.39,0.81%,0.99
MAR,"Marriott International, I",Consumer Cyclical,$352.95,80,STRONG BUY,5/7,True,69.1,Bear,30.1,70.8,0.03x,+28.0%,27.1%,2.07,-7.4%,+8.3%,+23.1%,+33.7%,$93.53B,37.08,$9.52,0.74%,1.10
ILMN,"Illumina, Inc.",Healthcare,$116.21,75,STRONG BUY,2/7,False,29.6,Bear,36.1,8.7,0.02x,+11.4%,53.0%,0.73,-25.7%,-20.0%,-3.1%,+16.1%,$17.86B,21.32,$5.45,N/A,1.45
MNST,Monster Beverage Corporat,Consumer Defensive,$80.95,75,STRONG BUY,5/7,True,55.7,Bear,33.5,41.5,0.03x,+22.6%,20.5%,2.26,-5.6%,+3.9%,+13.9%,+25.2%,$79.09B,45.99,$1.76,N/A,0.45
MCHP,Microchip Technology Inco,Technology,$78.00,75,STRONG BUY,6/7,True,56.3,Bear,33.7,46.3,0.08x,+17.0%,43.8%,1.01,-29.1%,+4.8%,+43.6%,+20.6%,$42.24B,N/A,$-0.30,2.31%,1.44
