Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
LRCX,Lam Research Corporation,Technology,$239.50,82.71,85,STRONG BUY,05-Jul,TRUE,60.5,Bear,33.1,73.8,0.24x,120.90%,52.50%,3.3,-16.10%,10.10%,56.50%,141.60%,$300.82B,49.08,$4.88,0.42%,1.78
KEYS,"Keysight Technologies, In",Technology,$234.55,70.2,80,STRONG BUY,05-Jul,TRUE,63.6,Bear,30.1,72.6,0.08x,33.50%,30.90%,2.15,-10.50%,9.30%,31.50%,43.50%,$40.30B,46.63,$5.03,N/A,1.2
ROST,"Ross Stores, Inc.",Consumer Cyclical,$194.67,75.24,80,STRONG BUY,06-Jul,TRUE,63.4,Bear,31.8,79.9,0.08x,25.90%,20.90%,2.51,-5.40%,0.50%,20.60%,33.10%,$63.31B,30.46,$6.39,0.81%,0.99
ILMN,"Illumina, Inc.",Healthcare,$116.29,41.18,75,STRONG BUY,02-Jul,FALSE,29.8,Bear,36.1,8.9,0.11x,10.70%,53.00%,0.73,-25.70%,-20.00%,-3.00%,16.20%,$17.87B,21.34,$5.45,N/A,1.45
MNST,Monster Beverage Corporat,Consumer Defensive,$81.79,72.84,75,STRONG BUY,06-Jul,TRUE,59.8,Bear,33.5,66.1,0.10x,23.20%,20.50%,2.36,-5.60%,5.00%,15.10%,26.50%,$79.91B,46.47,$1.76,N/A,0.45
MCHP,Microchip Technology Inco,Technology,$78.99,62.91,75,STRONG BUY,06-Jul,TRUE,58.8,Bear,33.7,56.3,0.21x,17.80%,43.70%,1.07,-29.10%,6.10%,45.40%,22.10%,$42.74B,N/A,$-0.30,2.31%,1.44
PCAR,PACCAR Inc,Industrials,$126.43,67.06,75,STRONG BUY,05-Jul,TRUE,60.1,Bear,40,66.7,0.13x,24.10%,26.00%,1.96,-9.60%,4.00%,33.00%,31.10%,$66.43B,28.03,$4.51,1.06%,1.04
MU,"Micron Technology, Inc.",Technology,$409.58,85.2,75,STRONG BUY,06-Jul,TRUE,58.9,Bear,37.5,49.9,0.30x,225.70%,64.20%,3.99,-20.50%,21.70%,72.90%,239.20%,$460.99B,38.97,$10.51,0.11%,1.5
FANG,"Diamondback Energy, Inc.",Energy,$169.11,67.46,75,STRONG BUY,06-Jul,TRUE,63.2,Bear,32.1,91.8,0.15x,18.20%,29.40%,1.45,-12.40%,12.10%,17.10%,21.40%,$48.43B,11.86,$14.25,2.39%,0.58
MRNA,"Moderna, Inc.",Healthcare,$43.05,59.93,75,STRONG BUY,03-Jul,FALSE,55.9,Bear,31.8,44,0.41x,55.80%,69.40%,1.65,-22.70%,9.40%,72.50%,53.60%,$16.82B,N/A,$-8.06,N/A,1.34
