Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
MU,"Micron Technology, Inc.",Technology,$420.95,88.24,85,STRONG BUY,6/7,True,60.6,Bear,36.7,62.3,0.80x,+238.6%,64.8%,4.16,-20.5%,+15.3%,+74.1%,+245.3%,$473.78B,40.01,$10.52,0.12%,1.50,STRONG EDGE,Standard position size
LRCX,Lam Research Corporation,Technology,$240.09,87.68,85,STRONG BUY,6/7,True,61.0,Bear,32.4,75.1,0.83x,+133.5%,51.5%,3.66,-16.1%,+7.9%,+63.1%,+140.2%,$301.56B,49.30,$4.87,0.42%,1.78,STRONG EDGE,Standard position size
ROST,"Ross Stores, Inc.",Consumer Cyclical,$200.38,79.63,75,STRONG BUY,7/7,True,72.0,Bear,34.5,98.6,0.90x,+29.5%,20.9%,2.99,-5.4%,+5.6%,+26.0%,+36.2%,$65.17B,31.36,$6.39,0.80%,0.99,STRONG EDGE,Standard position size
KEYS,"Keysight Technologies, In",Technology,$239.83,78.37,75,STRONG BUY,7/7,True,67.4,Bear,31.2,88.9,0.95x,+40.0%,30.7%,2.60,-10.5%,+13.1%,+36.6%,+46.7%,$41.21B,47.87,$5.01,N/A,1.20,STRONG EDGE,Standard position size
MNST,Monster Beverage Corporat,Consumer Defensive,$83.18,77.23,75,STRONG BUY,7/7,True,65.4,Bear,34.5,83.3,1.10x,+23.3%,20.7%,2.57,-5.6%,+2.1%,+15.8%,+30.0%,$81.27B,47.26,$1.76,N/A,0.45,STRONG EDGE,Standard position size
FANG,"Diamondback Energy, Inc.",Energy,$174.01,74.94,85,STRONG BUY,7/7,True,67.7,Bear,31.3,99.1,1.25x,+19.4%,29.9%,1.65,-12.4%,+17.0%,+18.9%,+26.1%,$49.86B,12.23,$14.23,2.37%,0.58,MODERATE EDGE,"Smaller position, tighter stop"
MRNA,"Moderna, Inc.",Healthcare,$46.60,73.18,80,STRONG BUY,6/7,True,63.4,Bear,30.8,88.9,0.97x,+60.3%,69.9%,1.79,-22.7%,+8.4%,+88.2%,+67.0%,$18.21B,N/A,$-7.26,N/A,1.34,MODERATE EDGE,"Smaller position, tighter stop"
ON,ON Semiconductor Corporat,Technology,$70.66,72.4,85,STRONG BUY,6/7,True,66.4,Bear,30.5,80.8,0.84x,+35.3%,45.5%,1.73,-18.5%,+17.6%,+53.5%,+42.0%,$28.43B,243.66,$0.29,N/A,1.54,MODERATE EDGE,"Smaller position, tighter stop"
GILD,"Gilead Sciences, Inc.",Healthcare,$152.74,71.28,85,STRONG BUY,5/7,True,65.7,Bear,48.9,76.1,0.61x,+24.5%,26.3%,2.14,-7.0%,+23.0%,+23.9%,+31.2%,$189.50B,22.53,$6.78,2.04%,0.39,MODERATE EDGE,"Smaller position, tighter stop"
MAR,"Marriott International, I",Consumer Cyclical,$356.00,70.37,80,STRONG BUY,5/7,True,68.5,Bear,33.4,75.7,1.10x,+27.4%,27.4%,2.23,-7.4%,+13.4%,+26.1%,+34.1%,$94.33B,37.43,$9.51,0.73%,1.10,MODERATE EDGE,"Smaller position, tighter stop"
PCAR,PACCAR Inc,Industrials,$125.17,66.8,75,STRONG BUY,5/7,True,55.8,Bear,37.6,42.0,0.92x,+21.5%,26.2%,1.97,-9.6%,+5.1%,+35.0%,+28.2%,$65.76B,27.75,$4.51,1.04%,1.04,MODERATE EDGE,"Smaller position, tighter stop"
TSM,Taiwan Semiconductor Manu,Technology,$362.26,66.34,65,BUY,4/7,True,62.6,Bear,20.0,70.9,0.54x,+49.9%,34.3%,2.75,-10.5%,+10.7%,+28.8%,+56.6%,$1878.86B,34.37,$10.54,N/A,1.27,MODERATE EDGE,"Smaller position, tighter stop"
REGN,Regeneron Pharmaceuticals,Healthcare,$792.16,64.68,65,BUY,5/7,True,57.6,Bear,14.2,72.6,0.81x,+32.0%,35.0%,2.00,-12.0%,+8.0%,+12.6%,+38.7%,$83.75B,19.08,$41.51,0.44%,0.41,WEAK EDGE,Paper trade or skip
HOLX,"Hologic, Inc.",Healthcare,$75.20,63.97,70,STRONG BUY,6/7,True,59.4,Bear,14.2,88.6,1.23x,+4.2%,17.9%,1.14,-7.9%,+0.1%,+1.4%,+10.9%,$16.79B,31.20,$2.41,N/A,0.73,WEAK EDGE,Paper trade or skip
MCHP,Microchip Technology Inco,Technology,$79.11,63.24,75,STRONG BUY,6/7,True,58.8,Bear,33.7,57.5,0.65x,+17.5%,44.0%,1.16,-29.1%,+8.1%,+54.4%,+24.2%,$42.81B,N/A,$-0.30,2.31%,1.44,WEAK EDGE,Paper trade or skip
ZUMZ,Zumiez Inc.,Consumer Cyclical,$26.35,61.51,45,WEAK SELL,5/7,True,59.3,Bear,23.6,84.5,0.73x,+60.1%,47.6%,2.36,-21.6%,+3.8%,+20.1%,+66.8%,$0.45B,64.27,$0.41,N/A,0.89,WEAK EDGE,Paper trade or skip
GS,"The Goldman Sachs Group, ",Financial Services,$933.73,60.29,60,BUY,5/7,True,52.4,Bear,18.0,65.1,0.74x,+24.1%,26.5%,2.10,-8.8%,-1.0%,+21.0%,+30.8%,$282.66B,18.18,$51.36,1.53%,1.31,WEAK EDGE,Paper trade or skip
KLAC,KLA Corporation,Technology,$1480.30,59.86,60,BUY,4/7,True,54.5,Bear,15.0,47.8,0.49x,+62.6%,47.8%,2.42,-22.4%,-0.4%,+30.6%,+69.3%,$194.50B,43.11,$34.34,0.50%,1.46,WEAK EDGE,Paper trade or skip
VRTX,Vertex Pharmaceuticals In,Healthcare,$470.31,58.92,70,STRONG BUY,4/7,True,51.6,Bear,17.6,32.2,1.02x,+13.7%,26.5%,1.47,-9.3%,+6.4%,+8.4%,+20.4%,$119.47B,30.68,$15.33,N/A,0.32,WEAK EDGE,Paper trade or skip
