Rank,Ticker,Current Price (INR),52W High (INR),Drop from 52W High (%),EMA10,Price vs EMA10
1,VLEGOV,13.89,65.04,78.64,14.55,Below
2,FLEXITUFF,10.19,42.21,75.86,10.04,Above
3,VIVIMEDLAB,7.7,29.4,73.81,7.74,Below
4,BLUECHIP,2.71,7.71,64.85,2.63,Above
5,SKFINDIA,1820.2,5074.0,64.13,1772.21,Above
6,RACE,112.2,297.45,62.28,117.34,Below
7,BLUEJET,399.75,1026.0,61.04,391.64,Above
8,IITL,132.9,323.0,58.85,130.3,Above
9,GATECH,0.5,1.21,58.68,0.5,Above
10,FMNL,8.12,19.43,58.21,8.34,Below
11,HILINFRA,55.55,131.4,57.72,55.88,Below
12,COUNCODOS,5.13,11.92,56.96,5.2,Below
13,VIJIFIN,2.1,4.6,54.35,2.19,Below
14,UDS,163.71,356.0,54.01,159.86,Above
15,SHRADHA,38.33,83.0,53.82,38.98,Below
16,DGCONTENT,27.46,59.28,53.68,27.61,Below
17,KAUSHALYA,858.05,1841.9,53.41,845.79,Above
18,REGAAL,68.35,145.7,53.09,62.92,Above
19,KRITI,85.27,177.51,51.96,83.41,Above
20,DCMFINSERV,4.43,9.21,51.9,4.48,Below
21,PAVNAIND,23.01,46.96,51.0,23.28,Below
22,TARIL,296.08,593.75,50.13,292.7,Above
23,NITIRAJ,212.65,418.76,49.22,198.66,Above
24,VISASTEEL,38.3,73.68,48.02,38.2,Above
25,SHYAMTEL,10.31,19.74,47.77,10.27,Above
26,UTKARSHBNK,14.63,28.0,47.75,14.18,Above
27,SUNCLAY,1353.2,2538.1,46.68,1340.22,Above
28,JYOTISTRUC,12.08,22.18,45.54,11.84,Above
29,TIPSFILMS,363.6,666.0,45.41,381.41,Below
30,LAGNAM,75.48,138.1,45.34,75.01,Above
31,MARALOVER,45.16,82.15,45.03,45.84,Below
32,TATAINVEST,658.95,1184.7,44.38,664.02,Below
33,INDOTECH,1553.0,2787.4,44.28,1452.82,Above
34,DIGISPICE,19.9,35.5,43.94,19.94,Below
35,GEMAROMA,196.23,349.6,43.87,193.71,Above
36,ORIENTLTD,61.98,110.4,43.86,61.82,Above
37,PRABHA,178.2,315.9,43.59,173.1,Above
38,SALZERELEC,658.9,1163.99,43.39,655.62,Above
39,JNKINDIA,238.22,419.14,43.17,242.22,Below
40,TREEHOUSE,9.23,16.2,43.02,8.47,Above
41,ALMONDZ,15.92,27.93,43.0,15.5,Above
42,IZMO,783.75,1374.7,42.99,809.82,Below
43,ONESOURCE,1292.8,2248.0,42.49,1283.27,Above
44,INSECTICID,629.75,1094.36,42.45,622.57,Above
45,SUYOG,656.1,1139.66,42.43,650.17,Above
46,SWSOLAR,201.8,348.9,42.16,205.23,Below
47,TTL,9.61,16.61,42.15,9.68,Below
48,SAPPHIRE,214.37,368.0,41.75,216.22,Below
49,SGL,12.17,20.79,41.46,12.23,Below
50,RPPL,17.31,29.34,41.0,17.28,Above
51,BALPHARMA,75.62,127.02,40.46,75.84,Below
52,KELLTONTEC,19.87,33.15,40.06,19.11,Above
