Count of open,,,strategy,,,,,,,,,,
symbol,date,close,Gap Up,Golden Crossover,Momentum Breakout,Pyramiding,RSI Setup,Sell Below 10MA,Stage 2 Uptrend,Swing Trading,Trend Following,Volume Breakout,Grand Total
GRASIM,2026-02-09 00:00:00+05:30,2926.3,,,,,,,1,,,,1
,2026-02-10 00:00:00+05:30,2953.4,,1,,,,,,,,,1
HEROMOTOCO,2026-02-10 00:00:00+05:30,5754.5,,1,,1,,,,,,,2
KOTAKBANK,2026-02-09 00:00:00+05:30,428.8,,,,,,,,1,,,1
,2026-02-10 00:00:00+05:30,428.45,,1,,,,,,,,,1
SBIN,2026-02-09 00:00:00+05:30,1146,1,,1,,,,1,1,,1,5
,2026-02-10 00:00:00+05:30,1143,,1,,,,,,,,,1
TATASTEEL,2026-02-09 00:00:00+05:30,202,,,,1,,,,,,,1
,2026-02-10 00:00:00+05:30,207.89,,1,1,,,,1,1,,1,5
TITAN,2026-02-09 00:00:00+05:30,4257.8,,,,,,,,,1,,1
,2026-02-10 00:00:00+05:30,4293.8,,1,1,,,,,1,,,3
Grand Total,,,1,6,3,2,,,3,4,1,2,22
